Date,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
8/12/20,Alaska,US,8/13/20 4:30,61.3707,-152.4044,3879,27,1359,2493,2,530.2476266,292582,,0.696055684,84000002,USA,39995.07891,
8/12/20,Arizona,US,8/13/20 4:30,33.7298,-111.4312,189443,4347,26418,158678,4,2602.697701,1044228,19821,2.294621601,84000004,USA,14346.31955,10.46277772
8/12/20,Virginia,US,8/13/20 4:30,37.7693,-78.17,102521,2352,13247,86922,51,1201.110325,1287556,14528,2.294164122,84000051,USA,15084.68319,14.17075526
8/12/20,Washington,US,8/13/20 4:30,47.4009,-121.4905,64702,1724,,62978,53,849.6770736,1014258,6102,2.664523508,84000053,USA,13319.39924,9.430929492
8/12/20,West Virginia,US,8/13/20 4:30,38.4912,-80.9545,8018,153,5960,1905,54,447.3963352,335239,,1.908206535,84000054,USA,18705.99901,
8/12/20,Wisconsin,US,8/13/20 4:30,44.2685,-89.6165,62263,1011,52350,8902,55,1069.363775,1090377,5125,1.623757288,84000055,USA,18727.16805,8.231212759
8/12/20,Wyoming,US,8/13/20 4:30,42.756,-107.3025,3086,29,2577,480,56,533.2098507,59331,187,0.939727803,84000056,USA,10251.41726,6.059624109
8/13/20,Alabama,US,8/14/20 4:30,32.3182,-86.9023,105557,1890,41523,62144,1,2152.825153,802562,12456,1.790501814,84000001,USA,16368.17701,11.80025958
8/13/20,Alaska,US,8/14/20 4:30,61.3707,-152.4044,3963,27,1360,2576,2,541.7301738,294053,,0.681302044,84000002,USA,40196.16018,
8/13/20,Arizona,US,8/14/20 4:30,33.7298,-111.4312,190794,4383,26736,159675,4,2621.258664,1058178,20503,2.297242052,84000004,USA,14537.97421,10.74614506
8/13/20,Virginia,US,8/14/20 4:30,37.7693,-78.17,103622,2363,13389,87870,51,1214.009365,1306103,14647,2.280403775,84000051,USA,15301.97519,14.13502924
8/13/20,Washington,US,8/14/20 4:30,47.4009,-121.4905,65339,1736,,63603,53,858.0422601,1014809,6137,2.656912411,84000053,USA,13326.63506,9.392552687
8/13/20,West Virginia,US,8/14/20 4:30,38.4912,-80.9545,8163,153,6045,1965,54,455.4871894,339515,,1.874310915,84000054,USA,18944.5955,
8/13/20,Wisconsin,US,8/14/20 4:30,44.2685,-89.6165,63206,1018,53239,8949,55,1085.55975,1102817,5170,1.610606588,84000055,USA,18940.8244,8.179603202
8/13/20,Wyoming,US,8/14/20 4:30,42.756,-107.3025,3119,30,2601,488,56,538.9117059,59571,189,0.961846746,84000056,USA,10292.88529,6.059634498
8/14/20,Alabama,US,8/15/20 4:30,32.3182,-86.9023,106309,1893,41523,62893,1,2168.162123,824984,12456,1.78065827,84000001,USA,16825.47161,11.71678785
8/14/20,Alaska,US,8/15/20 4:30,61.3707,-152.4044,4073,27,1371,2675,2,556.7668428,295929,,0.662902038,84000002,USA,40452.60374,
8/14/20,Arizona,US,8/15/20 4:30,33.7298,-111.4312,191721,4423,27029,160269,4,2633.994425,1067575,20515,2.30699819,84000004,USA,14667.07663,10.70044492
8/14/20,Virginia,US,8/15/20 4:30,37.7693,-78.17,104838,2370,13477,88991,51,1228.255716,1320272,14776,2.260630687,84000051,USA,15467.97564,14.09412618
8/14/20,Washington,US,8/15/20 4:30,47.4009,-121.4905,66139,1755,,64384,53,868.5479888,1015446,6182,2.653502472,84000053,USA,13335.00024,9.346981357
8/14/20,West Virginia,US,8/15/20 4:30,38.4912,-80.9545,8277,157,6144,1976,54,461.8482747,344700,,1.89682252,84000054,USA,19233.91329,
8/14/20,Wisconsin,US,8/15/20 4:30,44.2685,-89.6165,64227,1025,54181,9021,55,1103.095372,1113294,5235,1.595902035,84000055,USA,19120.76633,8.15077771
8/14/20,Wyoming,US,8/15/20 4:30,42.756,-107.3025,3183,30,2641,512,56,549.9698493,59992,191,0.942507069,84000056,USA,10365.62714,6.000628338
8/15/20,Alabama,US,8/16/20 4:30,32.3182,-86.9023,107580,1896,41523,64161,1,2194.084049,837017,12607,1.76240937,84000001,USA,17070.88352,11.71872095
8/15/20,Alaska,US,8/16/20 4:30,61.3707,-152.4044,4156,28,1384,2744,2,568.112693,296677,,0.673724735,84000002,USA,40554.85308,
8/15/20,Arizona,US,8/16/20 4:30,33.7298,-111.4312,192654,4492,27339,160823,4,2646.812618,1077191,20795,2.331641181,84000004,USA,14799.18782,10.79396223
8/15/20,Virginia,US,8/16/20 4:30,37.7693,-78.17,105750,2381,13694,89675,51,1238.940479,1337240,14965,2.251536643,84000051,USA,15666.76848,14.15130024
8/15/20,Washington,US,8/16/20 4:30,47.4009,-121.4905,66885,1766,,65119,53,878.3445808,1016246,6206,2.640352844,84000053,USA,13345.50597,9.278612544
